단축종목코드,운용사,ETF명,기초지수,상장일,과세,수익률,총보수,추적오차,괴리율,순자산총액(억),변동성,분류체계,복제방법
A300290,케이비자산운용,KBSTAR 중소형모멘텀밸류,FnGuide 중소형모멘텀&밸류 지수(시장가격 지수),2018-07-18,비과세,-,0.35,0.1,-0.03,77,매우낮음,주식-전략-성장,실물
A300280,케이비자산운용,KBSTAR 중소형모멘텀로우볼,FnGuide 중소형 모멘텀&로우볼 지수,2018-07-18,비과세,-,0.35,0.09,0.01,74,매우낮음,주식-전략-성장,실물
A301410,한화자산운용,ARIRANG 코스닥150선물인버스,F-코스닥150 지수,2018-07-11,배당소득세(보유기간과세),-,0.29,0.58,-0.48,52,낮음,주식-시장대표,실물
A301440,한화자산운용,ARIRANG 코스피중형주,코스피 중형주,2018-07-05,비과세,-,0.25,0.2,0.18,49,매우낮음,주식-규모-중형주,실물
A301400,한화자산운용,ARIRANG 코스닥150,코스닥 150,2018-07-05,비과세,-,0.15,0.16,-0.43,27,매우낮음,주식-시장대표,실물
A298770,삼성자산운용,KODEX 한국대만IT프리미어,한국 대만 IT 프리미어지수,2018-06-11,배당소득세(보유기간과세),-,0.55,2.16,0.67,80,매우낮음,주식-업종섹터-정보기술,실물
A296710,삼성자산운용,KODEX FnKorea50,FnKorea 50 지수,2018-06-08,비과세,-,0.45,0.28,-0.43,75,낮음,주식-규모-대형주,실물
A298340,한화자산운용,ARIRANG 국채선물3년,국채선물지수,2018-06-08,배당소득세(보유기간과세),-,0.1,0.07,-0.04,69,매우낮음,채권-국공채-중기,실물
A299080,한국투자신탁운용,KINDEX 국채선물3년인버스,국채선물지수,2018-06-08,배당소득세(보유기간과세),-,0.05,0.04,0.02,50,매우낮음,채권-국공채-중기,실물
A299070,한국투자신탁운용,KINDEX 국채선물10년인버스,10년국채선물지수,2018-06-08,배당소득세(보유기간과세),-,0.05,0.06,0.05,49,매우낮음,채권-국공채-장기,실물
A295000,케이비자산운용,KBSTAR 국채선물10년,10년국채선물지수,2018-05-11,배당소득세(보유기간과세),-,0.07,0.06,-0.04,73,매우낮음,채권-국공채-장기,실물
A295880,한화자산운용,ARIRANG 200퀄리티,코스피 200 퀄리티 가중 지수,2018-05-11,비과세,-,0.3,0.59,-0.05,71,매우낮음,주식-전략-혼합/퀀트,실물
A295840,한화자산운용,ARIRANG 200밸류,코스피 200 밸류 가중 지수,2018-05-11,비과세,-,0.3,0.63,0.05,83,매우낮음,주식-전략-가치,실물
A295020,케이비자산운용,KBSTAR 국채선물10년인버스,10년국채선물지수,2018-05-11,배당소득세(보유기간과세),-,0.07,0.07,0.06,63,매우낮음,채권-국공채-장기,실물
A295820,한화자산운용,ARIRANG 200동일가중,코스피 200 동일가중지수,2018-05-11,비과세,-,0.23,0.28,0.03,70,매우낮음,주식-시장대표,실물
A295860,한화자산운용,ARIRANG 200모멘텀,코스피 200 모멘텀 가중 지수,2018-05-11,비과세,-,0.3,0.55,0.03,52,매우낮음,주식-전략-성장,실물
A295890,한화자산운용,ARIRANG 200로우볼,코스피 200 로우볼 가중 지수,2018-05-11,비과세,-,0.3,0.54,0.05,61,매우낮음,주식-전략-변동성,실물
A295040,신한비엔피파리바자산,SMART 200TR,코스피 200 TR,2018-04-23,배당소득세(보유기간과세),-,0.05,0.41,-0.11,"1,653",매우낮음,주식-시장대표,실물
A294400,키움투자자산운용,KOSEF 200TR,코스피 200 TR,2018-04-23,배당소득세(보유기간과세),-,0.01,0.37,-0.1,"1,152",매우낮음,주식-시장대표,실물
A292590,미래에셋자산운용,TIGER 일본엔선물인버스2X,엔선물지수,2018-04-17,배당소득세(보유기간과세),-,0.47,3.09,0.15,70,보통,통화-일본엔,실물
A292570,미래에셋자산운용,TIGER 일본엔선물레버리지,엔선물지수,2018-04-17,배당소득세(보유기간과세),-,0.47,2.95,0.22,70,매우낮음,통화-일본엔,실물
A292560,미래에셋자산운용,TIGER 일본엔선물,엔선물지수,2018-04-17,배당소득세(보유기간과세),-,0.25,1.48,0.18,70,매우낮음,통화-일본엔,실물
A292580,미래에셋자산운용,TIGER 일본엔선물인버스,엔선물지수,2018-04-17,배당소득세(보유기간과세),-,0.47,1.48,0.06,70,매우낮음,통화-일본엔,실물
A292770,삼성자산운용,KODEX 국채선물3년인버스,국채선물지수,2018-04-13,배당소득세(보유기간과세),-,0.07,0.05,0.03,535,매우낮음,채권-국공채-중기,실물
A292150,미래에셋자산운용,TIGER TOP10,FnGuide TOP10 지수,2018-03-30,비과세,-,0.29,0.49,-0.38,76,매우낮음,주식-규모-대형주,실물
A292100,미래에셋자산운용,TIGER 대형성장,FnGuide 대형성장 지수,2018-03-30,비과세,-,0.29,0.46,-0.39,114,매우낮음,주식-규모-대형주,실물
A292110,미래에셋자산운용,TIGER 대형가치,FnGuide 대형가치 지수,2018-03-30,비과세,-,0.29,0.85,-0.88,136,매우낮음,주식-규모-대형주,실물
A292120,미래에셋자산운용,TIGER 중소형,FnGuide 중소형 지수,2018-03-30,비과세,-,0.29,0.17,-0.22,66,보통,주식-규모-중형주,실물
A292130,미래에셋자산운용,TIGER 중소형성장,FnGuide 중소형성장 지수,2018-03-30,비과세,-,0.29,0.13,-0.32,105,낮음,주식-규모-중형주,실물
A292140,미래에셋자산운용,TIGER 중소형가치,FnGuide 중소형가치 지수,2018-03-30,비과세,-,0.29,0.23,-0.29,94,매우낮음,주식-규모-중형주,실물
A293180,엔에이치아문디자산운용,HANARO 200,코스피 200,2018-03-30,비과세,-,0.04,0.44,-0.1,"2,242",매우낮음,주식-시장대표,실물
A292160,미래에셋자산운용,TIGER KRX300,KRX 300,2018-03-26,비과세,-,0.09,0.56,-0.11,"1,459",매우낮음,주식-시장대표,실물
A292190,삼성자산운용,KODEX KRX300,KRX 300,2018-03-26,비과세,-,0.05,0.53,-0.26,"3,364",매우낮음,주식-시장대표,실물
A292050,케이비자산운용,KBSTAR KRX300,KRX 300,2018-03-26,비과세,-,0.05,0.53,-0.27,"1,369",매우낮음,주식-시장대표,실물
A292500,신한비엔피파리바자산,SMART KRX300,KRX 300,2018-03-26,비과세,-,0.05,0.55,0.04,840,낮음,주식-시장대표,실물
A292730,하이자산운용,FOCUS KRX300,KRX 300,2018-03-26,비과세,-,0.1,0.55,-0.08,234,매우낮음,주식-시장대표,실물
A292750,한화자산운용,ARIRANG KRX300,KRX 300,2018-03-26,비과세,-,0.09,0.52,0.03,385,매우낮음,주식-시장대표,실물
A291890,삼성자산운용,KODEX MSCI EM선물(H),SGX Emerging Markets Futures Index(ER),2018-03-23,배당소득세(보유기간과세),-,0.45,4.92,0.78,56,낮음,주식-시장대표,실물
A291680,케이비자산운용,KBSTAR 차이나H선물인버스(H),Hang Seng China Enterprises Futures Index(Price Return),2018-03-23,배당소득세(보유기간과세),-,0.6,0.78,-0.04,61,매우낮음,주식-시장대표,실물
A292340,디비자산운용,마이티 200커버드콜ATM레버리지,코스피 200 커버드콜 ATM 지수,2018-03-20,배당소득세(보유기간과세),-,0.51,3.61,0.02,192,매우낮음,주식-전략-구조화,실물
A291630,키움투자자산운용,KOSEF 코스닥150선물레버리지,F-코스닥150 지수,2018-03-16,배당소득세(보유기간과세),-,0.09,1.22,-0.12,130,매우낮음,주식-시장대표,실물
A291620,키움투자자산운용,KOSEF 코스닥150선물인버스,F-코스닥150 지수,2018-03-16,배당소득세(보유기간과세),-,0.09,0.58,-0.03,117,매우낮음,주식-시장대표,실물
A291610,키움투자자산운용,KOSEF 코스닥150선물,F-코스닥150 지수,2018-03-16,배당소득세(보유기간과세),-,0.09,0.19,0.11,178,매우낮음,주식-시장대표,실물
A291660,삼성자산운용,KODEX China H선물인버스(H),Hang Seng China Enterprises Futures Index(Price Return),2018-03-16,배당소득세(보유기간과세),-,0.64,0.82,-0.22,91,매우낮음,주식-시장대표,실물
A291130,한국투자신탁운용,KINDEX 멕시코MSCI(합성),MSCI MEXICO IMI 25/50 Price return Index,2018-03-09,배당소득세(보유기간과세),-,0.5,3.19,0.6,85,높음,주식-시장대표,합성
A290130,케이비자산운용,KBSTAR ESG사회책임투자,KRX ESG 사회책임경영지수(S),2018-02-27,비과세,-,0.3,0.74,-0.05,67,매우낮음,주식-전략-전략테마,실물
A290080,케이비자산운용,KBSTAR 200고배당커버드콜ATM,코스피 200 고배당커버드콜 ATM 지수(시장가격지수),2018-02-27,배당소득세(보유기간과세),-,0.4,1.63,0,70,매우낮음,주식-전략-구조화,실물
A289480,미래에셋자산운용,TIGER 200커버드콜ATM,코스피 200 커버드콜 ATM 지수,2018-02-09,배당소득세(보유기간과세),-,0.38,0.79,-0.01,121,매우낮음,주식-전략-구조화,실물
A289260,미래에셋자산운용,TIGER MSCI KOREA ESG리더스,MSCI Korea Country ESG Leaders Capped Index,2018-02-07,비과세,-,0.4,0.18,-0.87,85,매우낮음,주식-전략-전략테마,실물
A289250,미래에셋자산운용,TIGER MSCI KOREA ESG유니버설,MSCI Korea ESG Universal Index,2018-02-07,비과세,-,0.4,0.57,-0.35,86,매우낮음,주식-전략-전략테마,실물
A289040,삼성자산운용,KODEX MSCI KOREA ESG유니버설,MSCI Korea ESG Universal Capped Index,2018-02-07,비과세,-,0.3,0.48,-0.5,221,매우낮음,주식-전략-전략테마,실물
A289670,한화자산운용,ARIRANG 국채선물10년,10년국채선물지수,2018-02-07,배당소득세(보유기간과세),-,0.13,0.09,-0.15,53,매우낮음,채권-국공채-장기,실물
A287310,케이비자산운용,KBSTAR 200경기소비재,코스피 200 경기소비재,2017-12-22,비과세,-,0.19,2.6,-0.14,50,매우낮음,주식-업종섹터-경기소비재,실물
A287330,케이비자산운용,KBSTAR 200생활소비재,코스피 200 생활소비재,2017-12-22,비과세,-,0.19,2.83,-0.12,69,매우낮음,주식-업종섹터-생활소비재,실물
A287320,케이비자산운용,KBSTAR 200산업재,코스피 200 산업재,2017-12-22,비과세,-,0.19,2.1,-0.08,53,매우낮음,주식-업종섹터-산업재,실물
A287300,케이비자산운용,KBSTAR 200건설,코스피 200 건설,2017-12-22,비과세,-,0.19,3.34,-0.26,75,낮음,주식-업종섹터-건설,실물
A283580,삼성자산운용,KODEX 중국본토CSI300,CSI 300 Index,2017-12-13,배당소득세(해외주식투자전용ETF),-,0.55,1.52,0.74,530,매우낮음,주식-시장대표,실물
A287180,한화자산운용,ARIRANG 미국나스닥기술주,NASDAQ 100 Technology Sector Index,2017-12-13,배당소득세(해외주식투자전용ETF),-,0.5,0.3,0.18,97,매우낮음,주식-업종섹터-업종테마,실물
A285690,하이자산운용,FOCUS ESG리더스,KRX ESG Leaders 150,2017-12-13,비과세,-,0.1,2.51,-0.03,311,매우낮음,주식-전략-전략테마,실물
A284990,케이비자산운용,KBSTAR 200에너지화학,코스피 200 에너지/화학,2017-12-08,비과세,-,0.19,3.47,-0.08,67,보통,주식-업종섹터-에너지화학,실물
A285000,케이비자산운용,KBSTAR 200IT,코스피 200 정보기술,2017-12-08,비과세,-,0.19,1.17,-0.06,115,매우낮음,주식-업종섹터-정보기술,실물
A285010,케이비자산운용,KBSTAR 200중공업,코스피 200 중공업,2017-12-08,비과세,-,0.19,0.81,-0.26,50,보통,주식-업종섹터-중공업,실물
A285020,케이비자산운용,KBSTAR 200철강소재,코스피 200 철강/소재,2017-12-08,비과세,-,0.19,2.49,-0.38,50,낮음,주식-업종섹터-철강소재,실물
A284980,케이비자산운용,KBSTAR 200금융,코스피 200 금융,2017-12-08,비과세,-,0.19,4.41,-0.4,49,매우낮음,주식-업종섹터-금융,실물
A284430,삼성자산운용,KODEX 200미국채혼합,코스피 200 미국채 혼합지수,2017-11-30,배당소득세(보유기간과세),-,0.35,1.85,-0.12,97,매우낮음,혼합자산-주식+채권,실물
A283930,케이비자산운용,KBSTAR 지주회사,WISE 지주회사테마지수(시장가격지수),2017-11-30,비과세,-,0.3,3.2,0.03,90,매우낮음,주식-전략-전략테마,실물
A278530,삼성자산운용,KODEX 200TR,코스피 200 TR,2017-11-21,배당소득세(보유기간과세),-,0.1,0.3,-0.21,"5,846",매우낮음,주식-시장대표,실물
A280940,삼성자산운용,KODEX 골드선물인버스(H),S&P GSCI GOLD Index Excess Return,2017-11-09,배당소득세(보유기간과세),-,0.45,0.54,-0.1,55,매우낮음,원자재-금속-금,실물
A282000,케이비자산운용,KBSTAR 국고채3년선물인버스,국채선물지수,2017-11-09,배당소득세(보유기간과세),-,0.07,0.05,0.02,"5,891",매우낮음,채권-국공채-중기,실물
A280930,삼성자산운용,KODEX 미국러셀2000(H),FTSE Russell 2000 Index,2017-11-09,배당소득세(보유기간과세),-,0.45,4.08,0.37,58,매우낮음,주식-시장대표,실물
A278540,삼성자산운용,KODEX MSCI Korea TR,MSCI Korea TR Index,2017-11-09,배당소득세(보유기간과세),-,0.15,0.29,-0.56,"6,146",매우낮음,주식-시장대표,실물
A281990,케이비자산운용,KBSTAR 중소형고배당,FnGuide 중소형고배당포커스 지수,2017-11-02,비과세,-,0.3,2.69,0.04,526,매우낮음,주식-전략-배당,실물
A279530,삼성자산운용,KODEX 고배당,FnGuide 고배당 Plus 지수,2017-10-17,비과세,-,0.3,5.06,-0.05,449,매우낮음,주식-전략-배당,실물
A279540,삼성자산운용,KODEX 최소변동성,KRX 최소변동성지수,2017-10-17,비과세,-,0.3,2.16,0.07,95,매우낮음,주식-전략-변동성,실물
A280920,한화자산운용,ARIRANG 주도업종,FnGuide 주도업종 지수,2017-10-17,비과세,-,0.23,2.48,-0.02,152,보통,주식-전략-혼합/퀀트,실물
A280320,한국투자신탁운용,KINDEX 미국4차산업인터넷(합성 H),다우존스 인터넷 종합지수,2017-10-17,배당소득세(보유기간과세),-,0.5,0.67,-0.54,106,매우낮음,주식-업종섹터-정보기술,합성
A278620,한화자산운용,ARIRANG 단기채권액티브,"KAP 투자적격 크레딧 채권 1년 지수(A- 이상,총수익)",2017-09-26,배당소득세(보유기간과세),-,0.13,0.21,0.01,769,매우낮음,채권-혼합-단기,Active
A277630,미래에셋자산운용,TIGER 코스피,코스피,2017-08-31,비과세,-,0.15,1.98,-0.31,"2,025",매우낮음,주식-시장대표,실물
A277650,미래에셋자산운용,TIGER 코스피중형주,코스피 중형주,2017-08-31,비과세,-,0.29,1.88,-0.25,"1,320",낮음,주식-규모-중형주,실물
A278240,케이비자산운용,KBSTAR 코스닥150선물레버리지,F-코스닥150 지수,2017-08-31,배당소득세(보유기간과세),-,0.6,2.3,-0.07,"2,435",낮음,주식-시장대표,실물
A278420,한화자산운용,ARIRANG ESG우수기업,WISE ESG우수기업 지수,2017-08-31,비과세,-,0.23,2.67,0.03,198,낮음,주식-전략-혼합/퀀트,실물
A277640,미래에셋자산운용,TIGER 코스피대형주,코스피 대형주,2017-08-31,비과세,-,0.29,2.16,-0.46,55,매우낮음,주식-규모-대형주,실물
A277540,한국투자신탁운용,KINDEX S&P아시아TOP50,S&P ASIA50 Price Return Index,2017-08-23,배당소득세(보유기간과세),2.08,0.7,2.88,0.36,677,매우낮음,주식-시장대표,실물
A276990,삼성자산운용,KODEX 글로벌4차산업로보틱스(합성),ROBO Global Robotics & Automation UCITS Price Return Index,2017-08-17,배당소득세(보유기간과세),12.29,0.3,1.92,-0.34,152,보통,주식-업종섹터-업종테마,합성
A276650,케이비자산운용,KBSTAR 글로벌4차산업IT(합성 H),S&P Global 1200 Information Technology Index (Price Return),2017-08-17,배당소득세(보유기간과세),22.21,0.4,1.05,0.1,61,매우낮음,주식-업종섹터-정보기술,합성
A276970,삼성자산운용,KODEX 미국S&P고배당커버드콜(합성 H),S&P500 Dividend Aristocrats Covered Call(7.2% Premium) Index,2017-08-10,배당소득세(보유기간과세),0.4,0.3,0.61,-0.47,232,매우낮음,주식-전략-구조화,합성
A275750,케이비자산운용,KBSTAR 코스닥150선물인버스,F-코스닥150 지수,2017-08-01,배당소득세(보유기간과세),-31.19,0.6,0.37,-0.13,58,매우낮음,주식-시장대표,실물
A276000,미래에셋자산운용,TIGER 글로벌자원생산기업(합성 H),MorningStar Global Upstream Resources Index(PR),2017-08-01,배당소득세(보유기간과세),10.94,0.4,1.5,0.18,110,매우낮음,주식-업종섹터-업종테마,합성
A275980,미래에셋자산운용,TIGER 글로벌4차산업혁신기술(합성 H),MorningStar Exponential Technologies Index(PR),2017-08-01,배당소득세(보유기간과세),15.25,0.4,0.78,-0.4,"2,893",매우낮음,주식-업종섹터-업종테마,합성
A272230,한국투자신탁운용,KINDEX 스마트밸류,FnGuide 스마트 밸류 지수,2017-07-11,비과세,-5.34,0.19,2.18,-0.08,112,매우낮음,주식-전략-가치,실물
A272220,한국투자신탁운용,KINDEX 스마트모멘텀,FnGuide 스마트 모멘텀 지수,2017-07-11,비과세,-2.55,0.19,1.9,-0.06,62,매우낮음,주식-전략-성장,실물
A275280,삼성자산운용,KODEX MSCI모멘텀,MSCI Korea IMI Momentum Capped,2017-07-11,비과세,-0.95,0.3,1.58,-0.41,100,매우낮음,주식-전략-성장,실물
A275290,삼성자산운용,KODEX MSCI밸류,MSCI Korea IMI Enhanced Value Capped,2017-07-11,비과세,-6.54,0.3,2.35,-0.42,239,매우낮음,주식-전략-가치,실물
A275300,삼성자산운용,KODEX MSCI퀄리티,MSCI Korea IMI Quality Capped,2017-07-11,비과세,-3.8,0.3,1.76,-0.42,102,낮음,주식-전략-혼합/퀀트,실물
A275540,교보악사자산운용,파워 스마트밸류,KRX 스마트 밸류지수,2017-07-11,비과세,-10.3,0.25,2.86,0.02,175,매우낮음,주식-전략-가치,실물
A270800,케이비자산운용,KBSTAR KQ고배당,FnGuide KQ고배당포커스 지수,2017-07-07,비과세,16.73,0.3,2.06,-0.37,828,매우낮음,주식-전략-배당,실물
A273140,삼성자산운용,KODEX 단기변동금리부채권액티브,KAP 단기변동금리부은행채권지수,2017-06-29,배당소득세(보유기간과세),0.94,0.15,0.62,0.02,"1,823",매우낮음,채권-혼합-단기,Active
A273130,삼성자산운용,KODEX 종합채권(AA-이상)액티브,KAP 한국종합채권지수,2017-06-29,배당소득세(보유기간과세),2.29,0.07,0.52,0,"5,376",매우낮음,채권-혼합-중기,Active
A272580,미래에셋자산운용,TIGER 단기채권액티브,KIS 통안채 3개월(총수익),2017-06-29,배당소득세(보유기간과세),0.99,0.07,0.65,0.01,"4,808",매우낮음,채권-국공채-단기,Active
A272570,케이비자산운용,KBSTAR 중장기국공채액티브,KIS 종합채권국공채4~5Y지수,2017-06-29,배당소득세(보유기간과세),2.22,0.07,0.23,0,495,매우낮음,채권-국공채-중기,Active
A272560,케이비자산운용,KBSTAR 단기국공채액티브,KIS 종합채권국공채3M~1.5Y지수,2017-06-29,배당소득세(보유기간과세),1.27,0.07,0.49,0,906,매우낮음,채권-국공채-단기,Active
A272910,한국투자신탁운용,KINDEX 중장기국공채액티브,KIS 종합채권국공채1-10Y지수,2017-06-29,배당소득세(보유기간과세),-0.01,0.08,1.1,-0.04,637,매우낮음,채권-국공채-중기,Active
A270810,케이비자산운용,KBSTAR 코스닥150,코스닥 150,2017-06-16,비과세,33.1,0.18,1.2,0.03,"3,090",매우낮음,주식-시장대표,실물
A271060,삼성자산운용,KODEX 3대농산물선물(H),S&P GSCI Grains Select Index ER,2017-06-13,배당소득세(보유기간과세),-7.71,0.55,0.65,0.31,64,매우낮음,원자재-농산물-혼합,실물
A271050,삼성자산운용,KODEX WTI원유선물인버스(H),S&P GSCI Crude Oil Index ER,2017-06-13,배당소득세(보유기간과세),-34.46,0.35,0.69,-0.61,63,높음,원자재-에너지-원유,실물
A269540,한화자산운용,ARIRANG 미국S&P500(H),S&P 500,2017-05-16,배당소득세(해외주식투자전용ETF),17.66,0.3,0.81,0.14,167,매우낮음,주식-시장대표,실물
A269530,한화자산운용,ARIRANG S&P글로벌인프라,S&P Global Infrastructure Index,2017-05-16,배당소득세(해외주식투자전용ETF),-4.41,0.3,3.69,0.29,66,매우낮음,주식-업종섹터,실물
A269420,삼성자산운용,KODEX S&P글로벌인프라(합성),S&P Global Infrastructure Index,2017-05-16,배당소득세(보유기간과세),-3.98,0.26,1.09,0.7,102,매우낮음,주식-업종섹터,합성
A269370,미래에셋자산운용,TIGER S&P글로벌인프라(합성),S&P Global Infrastructure Index,2017-05-16,배당소득세(보유기간과세),-6.61,0.4,2.02,0.01,100,매우낮음,주식-업종섹터,합성
A267770,미래에셋자산운용,TIGER 200선물레버리지,코스피 200 선물지수,2017-04-25,배당소득세(보유기간과세),-10.57,0.09,0.54,-0.09,"1,328",매우낮음,주식-시장대표,실물
A267300,미래에셋자산운용,TIGER 코스닥150로우볼,코스닥 150 저변동성,2017-04-25,비과세,19.33,0.4,1.2,-0.24,56,매우높음,주식-전략-변동성,실물
A267440,케이비자산운용,KBSTAR 미국장기국채선물(H),S&P U.S. Treasury Bond Futures Excess Return Index,2017-04-20,배당소득세(보유기간과세),-4.13,0.4,0.42,0.03,59,매우낮음,채권-국공채-장기,실물
A267450,케이비자산운용,KBSTAR 미국장기국채선물인버스(H),S&P U.S. Treasury Bond Futures Excess Return Index,2017-04-20,배당소득세(보유기간과세),3.72,0.4,0.69,0.23,60,매우낮음,채권-국공채-장기,실물
A267490,케이비자산운용,KBSTAR 미국장기국채선물레버리지(합성 H),S&P U.S. Treasury Bond Futures Excess Return Index,2017-04-20,배당소득세(보유기간과세),-9.37,0.5,0.66,-0.18,67,매우낮음,채권-국공채-장기,합성
A267500,케이비자산운용,KBSTAR 미국장기국채선물인버스2X(합성 H),S&P U.S. Treasury Bond Futures Excess Return Index,2017-04-20,배당소득세(보유기간과세),6.81,0.5,0.62,0.29,70,매우낮음,채권-국공채-장기,합성
A266160,케이비자산운용,KBSTAR 고배당,FnGuide 고배당포커스 지수,2017-04-14,비과세,-7.5,0.2,3.2,0,641,매우낮음,주식-전략-배당,실물
A266140,미래에셋자산운용,TIGER 지속배당,WISE 지속배당 지수,2017-03-30,비과세,-12.83,0.29,4.31,-0.15,58,매우낮음,주식-전략-배당,실물
A266360,삼성자산운용,KODEX IT소프트웨어,KRX IT소프트웨어,2017-03-28,비과세,4.91,0.45,0.45,-0.3,82,매우낮음,주식-업종섹터-정보기술,실물
A266390,삼성자산운용,KODEX 경기소비재,KRX 경기소비재,2017-03-28,비과세,8.22,0.45,1.34,-0.98,106,매우낮음,주식-업종섹터-경기소비재,실물
A266410,삼성자산운용,KODEX 필수소비재,KRX 필수소비재,2017-03-28,비과세,-5.96,0.45,1.69,-0.45,512,높음,주식-업종섹터-생활소비재,실물
A266420,삼성자산운용,KODEX 헬스케어,KRX 헬스케어,2017-03-28,비과세,51.35,0.45,0.74,-0.01,123,낮음,주식-업종섹터-헬스케어,실물
A266550,한화자산운용,ARIRANG 중형주저변동50,FnGuide 중형주저변동50지수,2017-03-28,비과세,-7.44,0.23,2.3,-0.01,224,낮음,주식-규모-중형주,실물
A266370,삼성자산운용,KODEX IT하드웨어,KRX IT하드웨어,2017-03-28,비과세,6.59,0.45,2.38,0.03,92,낮음,주식-업종섹터-정보기술,실물
A265690,한국투자신탁운용,KINDEX 러시아MSCI(합성),MSCI Russia 25% Capped Price Return Index,2017-03-21,배당소득세(보유기간과세),4.63,0.5,6.01,0.05,111,보통,주식-시장대표,합성
A263190,한화자산운용,ARIRANG 단기우량채권,KAP Money Market Credit Index(Total Retrun),2017-01-25,배당소득세(보유기간과세),1.73,0.12,0.12,-0.02,277,매우낮음,채권-혼합-단기,실물
A261140,미래에셋자산운용,TIGER 우선주,코스피 우선주 지수,2017-01-06,비과세,-10.04,0.29,3.08,-0.58,263,매우낮음,주식-전략-전략테마,실물
A261920,한국투자신탁운용,KINDEX 필리핀MSCI(합성),MSCI Philippines IMI Index,2016-12-28,배당소득세(보유기간과세),-11.45,0.5,0.12,-0.6,58,매우높음,주식-시장대표,합성
A261250,삼성자산운용,KODEX 미국달러선물레버리지,미국달러선물지수,2016-12-27,배당소득세(보유기간과세),-0.4,0.45,0.43,0.11,363,매우낮음,통화-미국달러,실물
A261240,삼성자산운용,KODEX 미국달러선물,미국달러선물지수,2016-12-27,배당소득세(보유기간과세),0.79,0.25,0.12,0.02,196,매우낮음,통화-미국달러,실물
A261220,삼성자산운용,KODEX WTI원유선물(H),S&P GSCI Crude Oil Index ER,2016-12-27,배당소득세(보유기간과세),44.42,0.35,0.93,0.73,91,높음,원자재-에너지-원유,실물
A261120,미래에셋자산운용,TIGER 미국달러선물인버스2X,미국달러선물지수,2016-12-27,배당소득세(보유기간과세),-1.53,0.47,0.25,-1.1,144,매우낮음,통화-미국달러,실물
A261110,미래에셋자산운용,TIGER 미국달러선물레버리지,미국달러선물지수,2016-12-27,배당소득세(보유기간과세),-0.57,0.47,0.26,-0.14,132,낮음,통화-미국달러,실물
A261270,삼성자산운용,KODEX 미국달러선물인버스,미국달러선물지수,2016-12-27,배당소득세(보유기간과세),0.09,0.45,0.13,-0.22,43,매우낮음,통화-미국달러,실물
A261260,삼성자산운용,KODEX 미국달러선물인버스2X,미국달러선물지수,2016-12-27,배당소득세(보유기간과세),-0.58,0.45,0.58,-0.1,72,낮음,통화-미국달러,실물
