종목,현재가,고가,저가,변동,변동 %,거래량,시간
텍사스인스트루먼츠,169.74,170.68,167.58,+3.84,+2.31%,5.26M,14/05
피프스 서드 뱅코프,35.97,36.40,35.60,+0.19,+0.53%,5.20M,14/05
바이오크리스트,8.39,8.68,7.99,+0.50,+6.34%,5.17M,14/05
아제너스,1.630,1.710,1.580,+0.080,+5.16%,5.14M,14/05
아미쿠스 테라,7.490,7.720,7.250,+0.180,+2.46%,5.08M,14/05
베드 배스 앤드 비욘드,9.64,10.05,9.40,+0.24,+2.55%,4.98M,14/05
US Well Services,0.6100,0.7200,0.6100,-0.0405,-6.23%,4.98M,14/05
아나로그디바이스,158.74,159.70,153.88,+5.85,+3.83%,4.77M,14/05
펩시코,173.72,174.16,169.46,+3.32,+1.95%,4.70M,14/05
액티비전 블리자드,77.74,78.32,77.34,+0.36,+0.47%,4.67M,14/05
아마존닷컴,"2,261.10","2,263.68","2,156.00",+122.49,+5.73%,4.64M,14/05
리버티 글로벌 C,24.07,24.11,22.95,+1.19,+5.20%,4.35M,14/05
맨카인드,3.010,3.010,2.735,+0.280,+10.26%,4.22M,14/05
Vaxart,3.340,3.380,2.890,+0.450,+15.57%,4.21M,14/05
마텔,26.38,26.58,25.57,+1.17,+4.64%,4.20M,14/05
Flex,16.26,16.45,15.82,+0.57,+3.63%,3.96M,14/05
선파워,15.21,15.32,14.14,+1.29,+9.27%,3.96M,14/05
Himax Tech,9.41,9.46,8.59,+1.10,+13.24%,3.91M,14/05
클로비스,0.781,0.840,0.771,+0.021,+2.69%,3.82M,14/05
클린 에너지,4.86,4.97,4.47,+0.46,+10.45%,3.71M,14/05
일렉트로닉 아츠,124.94,125.28,121.14,+3.99,+3.30%,3.66M,14/05
SLM - 셀리 메이,16.62,16.69,16.20,+0.66,+4.14%,3.55M,14/05
코그니전트 테크놀로지 솔루션 A,73.38,74.73,72.98,-0.16,-0.22%,3.45M,14/05
뉴스 코퍼레이션,17.84,17.96,17.33,+0.46,+2.65%,3.36M,14/05
Athersys,0.5828,0.6000,0.5400,+0.0295,+5.33%,3.32M,14/05
바이두,116.94,117.97,112.05,+9.06,+8.40%,3.30M,14/05
어도비 시스템즈,405.45,408.97,393.94,+16.96,+4.37%,3.27M,14/05
하니웰,193.53,194.95,190.93,+0.61,+0.32%,3.23M,14/05
테이크투인터랙티브 소프트웨어,109.93,111.26,107.15,+3.72,+3.50%,3.22M,14/05
Cerus Corp,5.280,5.390,4.970,+0.410,+8.42%,3.20M,14/05
파이서브,96.17,97.14,94.43,+2.62,+2.80%,3.13M,14/05
웨스턴 디지털,58.45,58.67,56.45,+2.90,+5.22%,3.11M,14/05
패터슨-UTI,15.120,15.240,14.480,+0.820,+5.73%,3.09M,14/05
몬스터 베버리지,88.89,89.15,85.86,+3.21,+3.75%,3.02M,14/05
Statera Biopharma,0.252,0.270,0.240,+0.023,+10.24%,2.94M,14/05
익스피디아,131.78,133.23,129.91,+3.44,+2.68%,2.89M,14/05
NXP세미컨덕터즈,181.99,183.10,175.61,+8.33,+4.80%,2.88M,14/05
마이크로비전,3.23,3.24,2.94,+0.37,+12.94%,2.88M,14/05
SSR Mining,19.18,19.35,18.54,+0.46,+2.46%,2.81M,14/05
인피네라,5.950,5.960,5.685,+0.330,+5.87%,2.79M,14/05
메리어트인터내셔널,166.40,167.48,163.75,+3.36,+2.06%,2.77M,14/05
Pan American Silver,21.65,22.00,21.02,+0.64,+3.05%,2.70M,14/05
CBAK 에너지,1.110,1.160,0.949,+0.150,+15.64%,2.70M,14/05
로스 스토어스,92.06,92.20,89.71,+2.94,+3.30%,2.69M,14/05
엑셀 에너지,74.49,74.70,73.08,+0.94,+1.28%,2.67M,14/05
암젠,243.40,245.00,241.29,-1.32,-0.54%,2.63M,14/05
패스널,52.69,53.10,52.23,+0.46,+0.88%,2.62M,14/05
서너,94.21,94.24,93.90,+0.01,+0.01%,2.55M,14/05
Alkermes Plc,26.88,27.46,26.63,+0.31,+1.17%,2.54M,14/05
마이크로스트래티지,204.57,220.00,193.29,+33.39,+19.51%,2.51M,14/05
넥타테라퓨틱스,3.99,4.06,3.76,+0.26,+6.97%,2.49M,14/05
BGC Partners,3.250,3.400,3.150,+0.100,+3.17%,2.44M,14/05
VBI백신,1.080,1.140,1.035,+0.010,+0.93%,2.37M,14/05
Steel Dynamics,74.13,77.93,73.88,-0.61,-0.82%,2.35M,14/05
Coca-Cola European,52.25,52.30,49.91,+2.80,+5.66%,2.32M,14/05
ACADIA Pharmaceuticals,16.85,16.93,16.18,+0.82,+5.12%,2.32M,14/05
뉴웰브랜즈,22.69,22.83,22.09,+0.52,+2.35%,2.30M,14/05
Alpha & Omega Semiconductor,38.75,40.98,37.45,+5.55,+16.72%,2.29M,14/05
Principal Financial,70.02,70.73,68.04,+2.40,+3.55%,2.26M,14/05
Huazhu,29.52,29.76,27.31,+3.11,+11.78%,2.26M,14/05
코스트코 홀세일,497.27,498.79,489.60,+11.09,+2.28%,2.25M,14/05
Sangamo Therapeutics,4.02,4.07,3.85,+0.24,+6.35%,2.24M,14/05
인튜이티브 서지컬,223.69,224.68,215.00,+12.00,+5.67%,2.22M,14/05
오토매틱 데이터 프로세싱,208.79,209.98,206.87,+1.31,+0.63%,2.21M,14/05
래티스 세미컨덕터,49.38,50.38,47.41,+2.81,+6.03%,2.21M,14/05
Geron Corp,1.4500,1.5200,1.4300,+0.0200,+1.40%,2.17M,14/05
아메리칸 일렉트릭 파워,99.69,99.82,97.89,+1.16,+1.18%,2.16M,14/05
Star Bulk Carriers,29.88,30.53,28.72,+1.54,+5.43%,2.13M,14/05
Crocs,58.34,60.51,57.20,+2.29,+4.09%,2.05M,14/05
이그젝트 사이,52.29,53.17,49.50,+4.03,+8.35%,2.04M,14/05
넷이즈,92.46,93.04,90.60,+4.50,+5.12%,2.02M,14/05
Signature Bank,201.20,210.26,198.60,+12.02,+6.35%,2.00M,14/05
넷앱,71.21,71.44,69.71,+1.53,+2.20%,1.99M,14/05
KLA,336.42,337.71,318.02,+21.87,+6.95%,1.98M,14/05
Retail Opp,17.86,17.93,17.31,+0.52,+3.00%,1.96M,14/05
브로드컴,588.24,591.59,573.50,+16.67,+2.92%,1.94M,14/05
Alto Ingredients,4.860,4.990,4.710,+0.210,+4.52%,1.94M,14/05
램리서치,491.92,495.30,465.00,+31.49,+6.84%,1.91M,14/05
인튜이트,371.76,376.95,360.61,+17.87,+5.05%,1.89M,14/05
아카마이,98.67,99.35,97.13,+1.27,+1.30%,1.88M,14/05
덴츠플라이,38.23,38.59,37.86,+0.38,+1.00%,1.87M,14/05
익스피다이터스,111.59,114.91,111.01,+0.45,+0.40%,1.86M,14/05
달러트리,159.40,161.16,159.19,+0.21,+0.13%,1.83M,14/05
케이든스디자인시스템,142.44,143.13,137.70,+6.62,+4.87%,1.82M,14/05
바이오마린,77.73,78.89,76.90,+1.35,+1.77%,1.81M,14/05
일루미나,233.56,235.63,221.81,+16.14,+7.42%,1.78M,14/05
Neptune Wellness Solutions,0.1515,0.1600,0.1360,+0.0115,+8.21%,1.77M,14/05
Allscripts Healthcare Solutions,18.04,18.40,17.82,+0.20,+1.12%,1.74M,14/05
루오쿵 테크,0.430,0.450,0.416,0.000,0.00%,1.74M,14/05
포티넷,281.55,283.49,272.34,+14.89,+5.58%,1.73M,14/05
Ironwood Pharma,11.59,11.82,11.51,-0.14,-1.19%,1.73M,14/05
오토데스크,197.07,197.50,186.56,+12.02,+6.50%,1.72M,14/05
알파벳 A,"2,321.01","2,357.50","2,272.10",+64.13,+2.84%,1.72M,14/05
홀로직,76.28,76.64,74.08,+2.01,+2.71%,1.70M,14/05
티 로우 프라이스,121.96,123.47,120.40,+2.72,+2.28%,1.69M,14/05
Compugen Ltd,1.930,2.090,1.900,+0.050,+2.66%,1.66M,14/05
Rigel Pharma,1.960,2.020,1.865,+0.120,+6.52%,1.65M,14/05
베리사인,165.11,168.61,164.48,+0.70,+0.43%,1.64M,14/05
퍼스트 솔라,64.25,66.01,63.55,+2.85,+4.64%,1.61M,14/05
CoStar Group,58.19,58.67,56.41,+2.61,+4.70%,1.60M,14/05
Omeros Corp,3.20,3.35,3.06,+0.25,+8.47%,1.60M,14/05
Viavi Solutions,14.38,14.49,14.02,+0.39,+2.79%,1.58M,14/05
테라다인,107.35,108.42,103.19,+5.49,+5.39%,1.57M,14/05
CME그룹,200.10,202.32,196.09,+4.09,+2.09%,1.57M,14/05
제록스,17.27,17.38,16.79,+0.49,+2.92%,1.55M,14/05
Catalyst Pharmaceuticals,6.910,6.940,6.710,+0.260,+3.91%,1.54M,14/05
Coherus BioSciences,7.95,8.02,7.54,+0.36,+4.74%,1.50M,14/05
자이언스 뱅코프,53.56,54.44,52.85,+0.08,+0.15%,1.49M,14/05
Horizon Pharma,90.43,91.07,88.39,+2.44,+2.77%,1.49M,14/05
차터커뮤니케이션,471.39,475.87,458.69,+6.13,+1.32%,1.46M,14/05
Ferroglobe,7.360,7.450,6.850,+0.570,+8.39%,1.46M,14/05
파카,83.75,84.78,83.26,+0.26,+0.31%,1.45M,14/05
어반 아웃피터스,22.72,22.92,22.23,+0.51,+2.30%,1.45M,14/05
Inotiv,16.55,17.62,14.64,+4.59,+38.38%,1.45M,14/05
오버스톡,31.33,32.70,30.65,+0.58,+1.89%,1.45M,14/05
CarpParts.Com,7.08,7.16,6.88,+0.19,+2.76%,1.45M,14/05
리버티 글로벌,23.00,23.05,21.93,+1.06,+4.83%,1.38M,14/05
골라LNG,23.61,24.57,22.51,+1.44,+6.50%,1.38M,14/05
Cognex Corp,49.98,50.37,47.12,+3.39,+7.28%,1.37M,14/05
SeaChange,0.8451,0.8700,0.8101,+0.0116,+1.39%,1.37M,14/05
씨게이트,80.71,81.17,79.07,+2.61,+3.34%,1.36M,14/05
Parametric Tech,109.55,110.23,106.42,+3.23,+3.04%,1.36M,14/05
버텍스 파마슈티컬,246.72,247.54,240.25,+5.87,+2.44%,1.35M,14/05
NCM Inc,1.420,1.525,1.370,0.000,0.00%,1.35M,14/05
페이첵스,119.69,120.63,118.49,+1.76,+1.49%,1.34M,14/05
Limelight Ntwrk,3.400,3.445,3.260,+0.190,+5.92%,1.33M,14/05
Hudson Tech,9.280,9.640,9.020,+0.380,+4.27%,1.32M,14/05
Arrowhead Pharma,31.64,33.21,30.74,+1.33,+4.39%,1.29M,14/05
시애틀 제네틱스,135.63,136.83,129.20,+8.53,+6.71%,1.28M,14/05
Corcept Therap,18.94,19.29,18.71,+0.32,+1.72%,1.28M,14/05
Liveperson,17.65,17.94,16.63,+1.49,+9.22%,1.26M,14/05
어셋티오 테라,2.8600,2.8800,2.6600,+0.2300,+8.75%,1.25M,14/05
Hawaiian Hldg,15.27,15.42,14.96,+0.44,+2.97%,1.23M,14/05
Curis,0.887,1.000,0.880,-0.055,-5.85%,1.22M,14/05
Cytokinetics Inc,42.01,42.29,38.85,+3.66,+9.54%,1.21M,14/05
리마크,0.4701,0.4900,0.4500,+0.0300,+6.82%,1.21M,14/05
Immersion Corp,5.310,5.440,4.790,+0.870,+19.59%,1.21M,14/05
Insmed,18.19,18.38,17.43,+1.00,+5.82%,1.20M,14/05
Durect Corp,0.4003,0.4332,0.3911,+0.0091,+2.33%,1.19M,14/05
Kratos Defense,13.16,13.59,13.02,+0.14,+1.08%,1.18M,14/05
C.H.로빈슨,105.79,108.78,105.43,-1.92,-1.78%,1.17M,14/05
Hain Celestial,27.66,28.13,27.04,+0.82,+3.06%,1.16M,14/05
AcelRx Pharmaceuticals,0.2099,0.2240,0.1804,+0.0315,+17.66%,1.16M,14/05
시네다임,0.6550,0.6684,0.6150,+0.0618,+10.42%,1.16M,14/05
실로스 테라,0.563,0.586,0.523,+0.051,+10.04%,1.15M,14/05
Inseego,2.43,2.49,2.36,+0.08,+3.40%,1.15M,14/05
Codexis,10.97,11.36,10.53,+0.40,+3.78%,1.14M,14/05
Rent-A-Center,28.21,28.41,27.14,+1.27,+4.71%,1.14M,14/05
Ryanair ADR,83.00,83.61,81.34,+2.75,+3.43%,1.12M,14/05
Entegris Inc,109.24,110.26,105.10,+5.94,+5.75%,1.11M,14/05
Halozyme Therap,40.42,40.58,39.40,+1.38,+3.53%,1.10M,14/05
Yellow,3.770,4.030,3.765,+0.010,+0.27%,1.09M,14/05
II-VI Inc,63.88,64.83,62.89,+1.35,+2.16%,1.09M,14/05
바이오젠,199.11,200.27,196.24,+4.79,+2.46%,1.07M,14/05
체크포인트 소프트웨어 테크놀로지스,122.20,122.61,120.39,+1.59,+1.32%,1.06M,14/05
덱스컴,334.74,337.68,316.48,+23.22,+7.45%,1.06M,14/05
인피니티 파마,0.537,0.596,0.521,+0.017,+3.33%,1.06M,14/05
시트릭스 시스템즈,99.15,99.86,98.78,-0.68,-0.68%,1.04M,14/05
Rambus Inc,24.42,24.82,23.90,+0.69,+2.91%,1.04M,14/05
얼라인테크놀로지,275.52,276.84,264.42,+15.99,+6.16%,1.04M,14/05
Accurayorped,2.310,2.370,2.290,+0.020,+0.87%,1.03M,14/05
Masimo Corp,136.04,137.18,128.95,+7.86,+6.13%,1.03M,14/05
Gentex Corp,29.70,29.75,28.77,+1.01,+3.52%,1.02M,14/05
인사이트 코퍼레이션,74.90,76.62,74.49,-0.61,-0.81%,1.02M,14/05
카사바,19.24,20.49,18.00,+1.61,+9.13%,1.02M,14/05
헨리 샤인,83.51,86.03,83.32,-1.24,-1.46%,998.20K,14/05
EchoStar Corp,20.79,21.14,20.67,+0.09,+0.43%,993.47K,14/05
Fulton Financial,15.09,15.31,14.97,-0.09,-0.59%,989.83K,14/05
Sinclair Broad,24.85,24.94,24.03,+0.82,+3.41%,985.22K,14/05
Extreme Network,9.87,9.98,9.59,+0.38,+4.00%,982.83K,14/05
PacWest Bancorp,30.51,31.13,30.15,+0.41,+1.36%,976.30K,14/05
Option Care Health,28.63,28.88,27.81,+0.91,+3.28%,974.29K,14/05
Middleby Corp,139.73,140.21,131.72,+7.47,+5.65%,953.73K,14/05
Green Plains,31.81,32.34,30.46,+2.14,+7.21%,949.96K,14/05
Rada Electronic Industries,10.76,10.88,10.45,+0.16,+1.51%,941.29K,14/05
Bank Ozk,38.25,38.86,37.87,+0.32,+0.84%,931.81K,14/05
Interactive Broke,55.12,56.15,54.35,+1.68,+3.14%,929.54K,14/05
Ionis Pharma,36.08,36.66,35.12,+0.96,+2.73%,910.00K,14/05
J.B 헌트트랜스포트서비스,176.44,180.15,173.15,+3.81,+2.21%,906.62K,14/05
1800FLOWERS.COM,10.89,10.97,10.40,+0.45,+4.31%,898.09K,14/05
Cal-Maine Foods,50.67,51.95,50.40,-0.34,-0.67%,896.19K,14/05
Light Wonder,51.53,53.16,49.75,+2.86,+5.88%,886.00K,14/05
Amkor Tech,19.38,19.68,18.83,+0.78,+4.19%,883.50K,14/05
해즈브로,92.10,92.38,90.04,+2.59,+2.89%,879.32K,14/05
사렙타 테라퓨틱스,65.97,67.53,64.46,+2.69,+4.25%,868.94K,14/05
코핀,1.200,1.290,1.180,+0.060,+5.26%,862.30K,14/05
나스닥,147.49,148.52,145.27,+3.16,+2.19%,853.44K,14/05
21세기 폭스,17.95,18.17,17.58,+0.35,+1.99%,847.97K,14/05
메르카도리브레,794.96,805.88,738.83,+72.03,+9.96%,839.39K,14/05
Cheesecake Fac.,33.55,34.75,33.44,-0.04,-0.12%,830.87K,14/05
아이덱스 래버러토리스,362.18,367.55,351.98,+14.23,+4.09%,827.55K,14/05
Kulicke and Soffa,51.75,54.18,50.14,+1.83,+3.67%,820.42K,14/05
Comscore,1.670,1.715,1.530,+0.110,+7.05%,818.21K,14/05
Stagwell,7.250,7.590,7.135,+0.320,+4.62%,812.90K,14/05
Energy Recovery,17.41,17.70,17.30,+0.25,+1.46%,807.29K,14/05
케네디언솔라,24.34,24.64,23.29,+1.80,+7.99%,806.57K,14/05
LPL Financial,174.37,178.75,173.39,+3.87,+2.27%,803.95K,14/05
GTX Inc,0.700,0.805,0.690,-0.032,-4.36%,788.70K,14/05
Azenta,75.12,76.46,72.78,+3.52,+4.92%,780.79K,14/05
Pegasystems Inc,53.34,54.96,52.70,+0.61,+1.16%,773.70K,14/05
eHealth,12.00,12.21,10.91,+1.03,+9.39%,769.94K,14/05
Standard Biotools,2.220,2.370,2.135,+0.100,+4.72%,762.02K,14/05
Harmonic Inc,9.280,9.350,8.940,+0.450,+5.10%,746.37K,14/05
Alnylam Pharma,126.47,128.77,124.00,+5.14,+4.24%,740.27K,14/05
CVB Financial,23.60,23.83,23.38,+0.19,+0.81%,737.81K,14/05
Simmons First Nat,24.41,24.79,24.15,+0.16,+0.66%,734.70K,14/05
Career Edu,10.02,10.12,9.75,-0.03,-0.30%,733.82K,14/05
Matrix Service,5.01,5.44,4.98,-0.29,-5.47%,710.72K,14/05
Terawulf,3.37,3.54,3.21,+0.26,+8.36%,707.69K,14/05
IPG 포토닉스,98.40,99.86,96.39,+1.64,+1.69%,698.92K,14/05
Fortress Biotech,0.858,0.970,0.826,+0.058,+7.29%,694.68K,14/05
에퀴닉스,659.80,662.80,635.16,+29.92,+4.75%,690.83K,14/05
G-III Apparel,24.88,25.12,24.09,+1.08,+4.54%,690.38K,14/05
Healthcare Ser,16.95,17.25,16.43,+0.54,+3.29%,686.63K,14/05
Saia,215.05,218.60,207.77,+9.85,+4.80%,680.53K,14/05
Myriad Genetics,22.37,22.50,21.14,+1.49,+7.14%,678.82K,14/05
NetScout Sys,34.46,34.66,33.20,+1.38,+4.17%,670.28K,14/05
캐피톨 페더럴,9.59,9.71,9.43,-0.07,-0.72%,666.23K,14/05
그리폴스,12.96,13.00,12.61,+0.44,+3.51%,663.25K,14/05
Hope Bancorp,14.12,14.30,14.00,-0.03,-0.21%,661.74K,14/05
Icahn Enterprises,54.05,54.49,53.19,+1.00,+1.89%,659.19K,14/05
Northwest Bshre,12.25,12.38,12.19,-0.06,-0.49%,658.61K,14/05
뉴로크린 바이오사이언시스,84.12,84.98,83.44,+1.29,+1.56%,655.34K,14/05
East West Bancorp,71.14,72.23,70.27,+1.07,+1.53%,651.77K,14/05
패터슨 덴탈,30.98,31.54,30.45,-0.03,-0.10%,636.09K,14/05
앤시스,254.57,254.74,244.37,+14.03,+5.83%,626.62K,14/05
노던 트러스트,104.15,105.17,103.25,+1.58,+1.54%,622.60K,14/05
Marten Transp,17.98,18.30,17.63,+0.04,+0.22%,620.60K,14/05
Avid Bioservices,12.52,12.95,12.09,+0.50,+4.16%,618.69K,14/05
Denny’s,10.34,10.44,10.16,+0.22,+2.17%,617.54K,14/05
엑슨 엔터프라이즈,98.22,100.16,90.37,+11.18,+12.84%,604.51K,14/05
ACI Worldwide,25.75,26.11,25.45,+0.46,+1.82%,597.80K,14/05
오릴리 오토모티브,635.62,643.13,619.01,+13.28,+2.13%,594.52K,14/05
Beacon Roofing,61.28,61.65,60.64,+1.23,+2.05%,590.73K,14/05
National Instrume,33.70,33.94,32.63,+1.44,+4.46%,581.88K,14/05
Jack In The Box,77.82,79.93,77.32,-0.11,-0.14%,575.45K,14/05
알파텍,8.14,8.58,7.80,+0.52,+6.82%,571.47K,14/05
Sanmina Corp,40.36,40.62,39.00,+1.52,+3.91%,570.03K,14/05
Columbia Sports,79.85,80.80,78.15,+2.36,+3.05%,569.90K,14/05
Quidel Corp,100.60,100.85,94.11,+8.11,+8.77%,565.82K,14/05
Big5 Sporting,13.60,13.94,13.33,+0.35,+2.64%,560.74K,14/05
Acadia Hlthcre,70.59,70.69,67.84,+2.94,+4.35%,554.45K,14/05
First Interst.,34.22,34.46,33.88,+0.18,+0.53%,553.62K,14/05
CMC Materials,174.40,175.41,173.95,+1.40,+0.81%,546.52K,14/05
Columbia Bank,28.46,28.82,28.15,+0.02,+0.07%,545.04K,14/05
Open Text,36.98,37.13,35.88,+1.48,+4.17%,543.25K,14/05
Tivity Health,31.87,31.95,31.49,+0.27,+0.85%,535.79K,14/05
Mercury Systems,59.23,59.70,56.81,+4.27,+7.77%,528.80K,14/05
렉시콘 파마슈티컬스,1.730,1.810,1.670,+0.070,+4.22%,527.93K,14/05
Eagle Bulk Shipping,63.78,65.24,61.25,+3.54,+5.88%,526.13K,14/05
Simply Good Foods,39.22,39.40,37.02,+2.60,+7.10%,523.14K,14/05
ICON PLC,211.00,215.58,208.45,+4.28,+2.07%,518.70K,14/05
Insulet Corp,199.06,205.43,193.88,+10.03,+5.31%,517.46K,14/05
IAC Interactivecorp,81.50,83.10,78.19,+4.66,+6.06%,513.91K,14/05
잭 헨리 앤 어소시에이츠,175.43,176.95,173.74,-0.44,-0.25%,511.43K,14/05
Ebix Inc,30.04,30.19,28.02,+2.78,+10.20%,510.55K,14/05
PotlatchDeltic,52.10,53.12,51.84,-0.20,-0.38%,510.40K,14/05
RealNetworks,0.564,0.600,0.540,+0.019,+3.45%,509.08K,14/05
라마 어드벤티징 컴퍼니,99.19,100.11,96.35,+3.07,+3.19%,507.56K,14/05
Information Services,6.310,6.770,6.280,-0.150,-2.32%,505.61K,14/05
NN Inc,2.370,2.420,2.300,+0.020,+0.85%,504.13K,14/05
Acacia Research,4.470,4.730,4.440,-0.050,-1.11%,502.85K,14/05
OraSure Tech,5.420,5.543,5.200,+0.260,+5.04%,501.17K,14/05
Children’s Place,46.99,49.46,46.62,+0.35,+0.75%,498.82K,14/05
Pacira Pharma,61.55,62.44,60.54,+0.41,+0.67%,497.49K,14/05
모놀리틱 파워,431.67,434.63,398.00,+43.25,+11.13%,492.54K,14/05
신시내티 파이낸셜,126.23,126.50,124.65,+1.41,+1.13%,489.55K,14/05
Alliance Resource,18.540,18.770,18.160,+0.660,+3.69%,483.13K,14/05
Morningstar,242.95,247.49,235.57,+9.79,+4.20%,479.50K,14/05
Highpeak Energy Acquisition,30.830,31.000,29.550,+1.510,+5.15%,477.63K,14/05
Hancock Whitney,46.39,46.86,46.05,+0.45,+0.98%,472.14K,14/05
아비오메드,254.16,254.55,240.03,+19.81,+8.45%,471.24K,14/05
Cross Country,15.70,16.39,15.62,-0.14,-0.88%,470.65K,14/05
Altra Holdings,37.59,38.95,37.26,-0.20,-0.53%,464.79K,14/05
Cutera,51.16,52.47,47.94,+3.99,+8.46%,461.50K,14/05
Neogen Corp,26.48,27.10,26.19,-0.02,-0.08%,459.26K,14/05
Red Robin,9.04,9.46,8.95,+0.31,+3.55%,458.97K,14/05
MKS Instruments,118.14,118.83,115.10,+4.14,+3.63%,458.42K,14/05
Avadel Pharma,3.800,3.980,3.700,+0.255,+7.19%,457.13K,14/05
Cirrus Logic,77.96,78.97,76.04,+2.60,+3.45%,454.18K,14/05
The Andersons,38.27,39.18,37.71,+0.84,+2.24%,448.19K,14/05
Radware,24.23,24.67,23.94,+0.19,+0.79%,447.33K,14/05
A.A.W.W. Inc,70.07,71.43,68.82,+1.51,+2.20%,446.21K,14/05
스테리사이클,46.05,46.64,45.46,+0.03,+0.07%,446.08K,14/05
Ziff Davis,80.26,81.16,77.29,+4.09,+5.37%,441.37K,14/05
RCM Technologies,18.140,20.401,18.080,-2.090,-10.33%,440.48K,14/05
PetMed Express,21.22,21.46,20.77,+0.01,+0.05%,438.86K,14/05
